share_in_largest_section,sections,chunks_in_largest,largest_chars,total_chars,largest_section_title,genre,book
1.0000,1,1451,598071,598071,One Thousand and One Nights (Lane translation),world-literature,One Thousand and One Nights (Lane translation)
1.0000,1,1099,458337,458337,THE TRIAL,german-literature,The Trial (Kafka)
1.0000,1,429,179568,179568,SYMPOSIUM,philosophy,The Symposium (Plato)
1.0000,1,314,127330,127330,THE AUTOBIOGRAPHY OF CHARLES DARWIN,natural-history,Autobiography of Charles Darwin
1.0000,1,240,102239,102239,The Dunwich Horror,horror,The Dunwich Horror
1.0000,1,172,69879,69879,The Legend of Sleepy Hollow (Irving),american-literature,The Legend of Sleepy Hollow (Irving)
1.0000,1,163,70283,70283,THE COLOUR OUT OF SPACE,horror,The Colour Out of Space
1.0000,1,156,64066,64066,The Shunned House,horror,The Shunned House
1.0000,1,127,52160,52160,On the Duty of Civil Disobedience (Thoreau),philosophy,On the Duty of Civil Disobedience (Thoreau)
1.0000,1,71,32345,32345,The Yellow Wallpaper,american-literature,The Yellow Wallpaper
1.0000,1,47,19482,19482,A Modest Proposal,english-literature,A Modest Proposal
0.9985,2,196,87969,88101,DRAMATIS PERSONAE,ancient-classical,The Clouds (Aristophanes)
0.9940,2,382,180521,181614,HEDDA GABLER,drama,Hedda Gabler — Henrik Ibsen
0.9915,2,535,222389,224286,THE CHEMICAL HISTORY OF A CANDLE LECTURE I.,natural-history,The Chemical History of a Candle — Michael Faraday
0.9873,3,1015,451772,457587,"INCIDENTS IN THE LIFE OF A SLAVE GIRL, SEVEN YEARS CONCEALED.",biography,Incidents in the Life of a Slave Girl — Harriet Jacobs
0.9870,3,885,375758,380699,BENJAMIN FRANKLIN HIS AUTOBIOGRAPHY,biography,Autobiography of Benjamin Franklin
0.9868,3,95,42047,42608,LIST OF ILLUSTRATIONS WITH NAMES OF ENGRAVERS,american-literature,The Raven and Other Poems (Poe)
0.9819,5,650,309016,314711,Book II,philosophy,Second Treatise of Government
0.9801,5,289,124579,127113,AUTHOR,philosophy,Common Sense
0.9793,4,352,167761,171299,BUILDING-PLANS,drama,The Master Builder
0.9761,3,176,81501,83500,A CHORUS OF FROGS A CHORUS OF INITIATED PERSONS,ancient-classical,The Frogs
0.9740,3,2847,1212771,1245130,INTRODUCTION,biography,The Life of Samuel Johnson — James Boswell
0.9553,3,267,120207,125838,EUELPIDES PISTHETAERUS,ancient-classical,The Birds (Aristophanes)
0.9191,3,221,92082,100191,ON THE NATURAL HISTORY OF THE MAN-LIKE APES,natural-history,Man's Place in Nature — Thomas H. Huxley
0.9155,2,393,179308,195861,Faust Part I (Goethe),german-literature,Faust Part I (Goethe)
0.8750,59,1270,564799,645487,THUS SPAKE ZARATHUSTRA A BOOK FOR ALL AND NONE,philosophy,Thus Spake Zarathustra
0.8700,53,672,290314,333689,TRANSLATED BY GEORGE LONG CONTENTS.,ancient-classical,A Selection from the Discourses of Epictetus with the Encheiridion
0.8293,4,141,63533,76607,GITANJALI,world-literature,Gitanjali (Tagore)
0.8275,4,645,270856,327302,THE BIRTH OF TRAGEDY FROM THE SPIRIT OF MUSIC,philosophy,"The Birth of Tragedy; or, Hellenism and Pessimism"
0.8047,7,187,84158,104587,"OEDIPUS, KING OF THEBES",ancient-classical,Oedipus King of Thebes
0.7437,2,474,196123,263712,The Case of Charles Dexter Ward,horror,The Case of Charles Dexter Ward
0.7337,4,1439,607370,827823,Book III.,ancient-classical,"Minor Dialogues, Together With the Dialogue on Clemency"
0.6997,4,1063,449103,641835,COMPLEMENTAL VERSES,american-literature,Walden
0.6985,2,157,67894,97201,III,horror,The Shadow over Innsmouth
0.6928,2,351,149806,216218,Heart of Darkness,english-literature,Heart of Darkness
0.6916,2,143,59930,86658,APOLOGY,philosophy,Apology (Plato)
0.6782,2,120,48140,70985,The Call of Cthulhu,horror,The Call of Cthulhu
0.6587,2,190,79030,119984,The Metamorphosis (Kafka),german-literature,The Metamorphosis (Kafka)
0.6456,5,170,80676,124972,SCENE,drama,The Importance of Being Earnest — Oscar Wilde
0.6339,2,358,149781,236286,PHAEDO PERSONS OF THE DIALOGUE:,philosophy,Phaedo (Plato)
0.6282,6,169,74808,119075,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS FROM THE QUARTO OF 1604.,drama,Doctor Faustus — Christopher Marlowe
0.6155,59,799,319734,519439,XIV -- TO CORNELIUS TACITUS,letters,Letters of Pliny the Younger
0.6040,6,498,203597,337088,III,russian-literature,Oblomov
0.6033,8,156,69574,115325,D.,ancient-classical,Medea of Euripides
0.5937,5,189,77327,130251,THE LAST NIGHT,english-literature,The Strange Case of Dr Jekyll and Mr Hyde
0.5757,5,1632,661246,1148572,HAMILTON,philosophy,The Federalist Papers
0.5708,12,1058,454445,796150,ON THE SEA,letters,Letters of John Keats to His Family and Friends
0.5662,35,2367,1008199,1780651,FOOTNOTES:,philosophy,The Crown of Wild Olive
0.5565,18,529,225169,404629,III,horror,The King in Yellow
0.5459,2,75,32335,59233,PART II.,sacred-texts,Tao Te Ching (James Legge translation)
0.5380,8,359,149049,277031,"The Song of Mowgli—I, Mowgli, am singing. Let the jungle listen to the",english-literature,The Jungle Book (Kipling)
0.5190,5,214,91434,176163,TO THE METAPHYSIC OF MORALS,philosophy,Groundwork of the Metaphysics of Morals (Kant)
0.4899,4,139,58365,119130,III THE CITY OF RESURRECTIONS,horror,The Great God Pan
0.4811,3,463,201271,418338,"MY DEAR WIFE,--",horror,Tales of Terror and Mystery
0.4756,4,223,96549,203020,PART II:  OTHER WORLDS,science-fiction,Flatland
0.4671,4,736,311275,666424,Part II,french-literature,Madame Bovary
0.4573,6,120,50821,111134,IV.,horror,The Willows
0.4210,25,250,74299,176501,CHORUS,ancient-classical,"The House of Atreus; Being the Agamemnon, the Libation bearers, and the Furies"
0.4198,11,296,129725,309026,III,american-literature,O Pioneers! (Cather)
0.4149,28,1426,610814,1472167,III,russian-literature,"The possessed :  or, The devils"
0.4068,14,397,171773,422237,PREFACE,philosophy,"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist"
0.3941,4,128,59719,151542,ACT I,drama,A Doll's House — Henrik Ibsen
0.3907,3,165,75720,193815,ACT III,drama,Major Barbara
0.3801,7,684,285344,750622,"CHAPTER IV. TRAVELS IN ALBANIA, GREECE, ETC.--DEATH OF MRS. BYRON.",letters,The Works of Lord Byron: Letters and Journals. Vol. 1
0.3759,8,467,197862,526368,THE MURDERS IN THE RUE MORGUE,american-literature,Tales of Mystery and Imagination (Poe)
0.3732,6,210,91884,246226,III,russian-literature,Notes from Underground (Dostoevsky)
0.3696,10,872,375935,1017034,"CHAPTER VIII. JOURNAL: NOVEMBER 14, 1813--APRIL 19, 1814.",letters,The Works of Lord Byron: Letters and Journals. Vol. 2
