genre,size_tier,book_name,book_relpath,cap,similar_k,threshold,nodes,similar_edges,similar_edges_added,max_total_degree,max_total_degree_node,max_out_degree,max_out_degree_node,elapsed_seconds,edge_reduction_vs_cap0_pct
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,0,5,0.85,3647,3909,4405,167,chunk:autobiography_of_benjamin_franklin.md:0098,143,chunk:autobiography_of_benjamin_franklin.md:0098,2.5489,0.0
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,2,5,0.85,3647,538,538,2,chunk:autobiography_of_benjamin_franklin.md:0885,2,chunk:autobiography_of_benjamin_franklin.md:0854,2.1571,86.2369
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,4,5,0.85,3647,1140,1140,4,chunk:reference.md:0003,4,chunk:autobiography_of_benjamin_franklin.md:0824,2.1332,70.8365
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,6,5,0.85,3647,1672,1672,6,chunk:autobiography_of_benjamin_franklin.md:0881,6,chunk:autobiography_of_benjamin_franklin.md:0706,2.176,57.2269
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,8,5,0.85,3647,2012,2012,8,chunk:autobiography_of_benjamin_franklin.md:0871,8,chunk:autobiography_of_benjamin_franklin.md:0706,2.1545,48.529
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,10,5,0.85,3647,2277,2277,10,chunk:autobiography_of_benjamin_franklin.md:0871,10,chunk:autobiography_of_benjamin_franklin.md:0151,2.1511,41.7498
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,15,5,0.85,3647,2713,2713,15,chunk:autobiography_of_benjamin_franklin.md:0871,15,chunk:autobiography_of_benjamin_franklin.md:0087,2.1736,30.5961
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,20,5,0.85,3647,2986,2986,20,chunk:autobiography_of_benjamin_franklin.md:0871,19,chunk:autobiography_of_benjamin_franklin.md:0126,2.1614,23.6122
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,30,5,0.85,3647,3319,3319,30,chunk:autobiography_of_benjamin_franklin.md:0861,27,chunk:autobiography_of_benjamin_franklin.md:0165,2.1692,15.0934
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,50,5,0.85,3647,3615,3615,50,chunk:autobiography_of_benjamin_franklin.md:0861,42,chunk:autobiography_of_benjamin_franklin.md:0149,2.1696,7.5211
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,0,5,0.85,4517,5286,6249,88,chunk:confessions_saint_augustine.md:0431,76,chunk:confessions_saint_augustine.md:0070,3.6969,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,2,5,0.85,4517,818,818,2,chunk:reference.md:0002,2,chunk:confessions_saint_augustine.md:1421,3.6447,84.5252
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,4,5,0.85,4517,1656,1656,4,chunk:confessions_saint_augustine.md:1441,4,chunk:confessions_saint_augustine.md:1331,3.642,68.672
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,6,5,0.85,4517,2389,2389,6,chunk:confessions_saint_augustine.md:1441,6,chunk:confessions_saint_augustine.md:1331,3.654,54.8051
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,8,5,0.85,4517,2910,2910,8,chunk:confessions_saint_augustine.md:1441,8,chunk:confessions_saint_augustine.md:1331,3.7504,44.9489
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,10,5,0.85,4517,3320,3320,10,chunk:confessions_saint_augustine.md:1441,10,chunk:confessions_saint_augustine.md:0182,3.6527,37.1926
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,15,5,0.85,4517,3984,3984,15,chunk:confessions_saint_augustine.md:1441,15,chunk:confessions_saint_augustine.md:0043,3.6624,24.6311
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,20,5,0.85,4517,4379,4379,20,chunk:confessions_saint_augustine.md:1441,20,chunk:confessions_saint_augustine.md:0042,3.6155,17.1585
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,30,5,0.85,4517,4752,4752,30,chunk:confessions_saint_augustine.md:0853,30,chunk:confessions_saint_augustine.md:0012,3.5891,10.1022
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,50,5,0.85,4517,5066,5066,50,chunk:confessions_saint_augustine.md:0818,50,chunk:confessions_saint_augustine.md:0012,3.5957,4.1619
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),0,5,0.85,1465,1563,2003,42,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0208,17,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0208,0.7653,0.0
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),2,5,0.85,1465,281,281,2,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0424,2,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0390,0.7493,82.0218
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),4,5,0.85,1465,587,587,4,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0424,4,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0376,0.7517,62.444
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),6,5,0.85,1465,863,863,6,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0424,6,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0358,0.7529,44.7857
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),8,5,0.85,1465,1072,1072,8,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0424,8,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0333,0.7607,31.4139
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),10,5,0.85,1465,1227,1227,10,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0424,10,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0333,0.7699,21.4971
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),15,5,0.85,1465,1438,1438,15,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0414,13,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0334,0.777,7.9974
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),20,5,0.85,1465,1509,1509,20,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0414,14,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0130,0.7797,3.4549
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),30,5,0.85,1465,1551,1551,30,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0208,14,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0130,0.7526,0.7678
philosophy,short,Groundwork of the Metaphysics of Morals (Kant),corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),50,5,0.85,1465,1563,1563,42,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0208,17,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0208,0.7594,0.0
philosophy,medium,Meditations,corpus/philosophy/Meditations,0,5,0.85,3474,794,1152,37,chunk:meditations.md:0643,21,chunk:meditations.md:0863,2.2545,0.0
philosophy,medium,Meditations,corpus/philosophy/Meditations,2,5,0.85,3474,219,219,2,chunk:reference.md:0004,2,chunk:meditations.md:0891,2.2608,72.4181
philosophy,medium,Meditations,corpus/philosophy/Meditations,4,5,0.85,3474,375,375,4,chunk:meditations.md:0919,4,chunk:meditations.md:0848,2.3348,52.7708
philosophy,medium,Meditations,corpus/philosophy/Meditations,6,5,0.85,3474,479,479,6,chunk:meditations.md:0909,6,chunk:meditations.md:0502,2.2349,39.6725
philosophy,medium,Meditations,corpus/philosophy/Meditations,8,5,0.85,3474,556,556,8,chunk:meditations.md:0909,8,chunk:meditations.md:0125,2.2313,29.9748
philosophy,medium,Meditations,corpus/philosophy/Meditations,10,5,0.85,3474,606,606,10,chunk:meditations.md:0909,9,chunk:meditations.md:0863,2.2239,23.6776
philosophy,medium,Meditations,corpus/philosophy/Meditations,15,5,0.85,3474,691,691,15,chunk:meditations.md:0863,12,chunk:meditations.md:0863,2.2357,12.9723
philosophy,medium,Meditations,corpus/philosophy/Meditations,20,5,0.85,3474,733,733,20,chunk:meditations.md:0863,14,chunk:meditations.md:0863,2.2381,7.6826
philosophy,medium,Meditations,corpus/philosophy/Meditations,30,5,0.85,3474,783,783,30,chunk:meditations.md:0836,21,chunk:meditations.md:0863,2.2335,1.3854
philosophy,medium,Meditations,corpus/philosophy/Meditations,50,5,0.85,3474,794,794,37,chunk:meditations.md:0643,21,chunk:meditations.md:0863,2.2472,0.0
philosophy,long,The Federalist Papers,corpus/philosophy/The Federalist Papers,0,5,0.85,8707,8842,10725,80,chunk:the_federalist_papers.md:0871,48,chunk:the_federalist_papers.md:0717,9.5702,0.0
